code,date,in_people,out_people,name,line,address,x,y
150,20151224,76303.0,68185.0,서울역,01호선,서울특별시 세종대로 지하 2 (남대문로 5가) (1호선 서울역),126.972091251236,37.5559802396321
150,20151225,56829.0,51742.0,서울역,01호선,서울특별시 세종대로 지하 2 (남대문로 5가) (1호선 서울역),126.972091251236,37.5559802396321
150,20161224,62180.0,53198.0,서울역,01호선,서울특별시 세종대로 지하 2 (남대문로 5가) (1호선 서울역),126.972091251236,37.5559802396321
150,20161225,46410.0,39065.0,서울역,01호선,서울특별시 세종대로 지하 2 (남대문로 5가) (1호선 서울역),126.972091251236,37.5559802396321
150,20171224,41731.0,39678.0,서울역,01호선,서울특별시 세종대로 지하 2 (남대문로 5가) (1호선 서울역),126.972091251236,37.5559802396321
150,20171225,46980.0,44500.0,서울역,01호선,서울특별시 세종대로 지하 2 (남대문로 5가) (1호선 서울역),126.972091251236,37.5559802396321
152,20151224,67264.0,60124.0,종각,01호선,서울특별시 종로구 종로 지하 55 (종로1가) (종각역),126.98315194892099,37.5702288920691
152,20151225,60027.0,41499.0,종각,01호선,서울특별시 종로구 종로 지하 55 (종로1가) (종각역),126.98315194892099,37.5702288920691
152,20161224,58874.0,48075.0,종각,01호선,서울특별시 종로구 종로 지하 55 (종로1가) (종각역),126.98315194892099,37.5702288920691
152,20161225,32013.0,24644.0,종각,01호선,서울특별시 종로구 종로 지하 55 (종로1가) (종각역),126.98315194892099,37.5702288920691
152,20171224,35578.0,30869.0,종각,01호선,서울특별시 종로구 종로 지하 55 (종로1가) (종각역),126.98315194892099,37.5702288920691
152,20171225,42551.0,32291.0,종각,01호선,서울특별시 종로구 종로 지하 55 (종로1가) (종각역),126.98315194892099,37.5702288920691
153,20151224,45689.0,44297.0,종로3가,01호선,서울특별시 종로구 돈화문로11길 지하26 (돈의동)  ,126.992153252476,37.570420844523
153,20151225,34914.0,33805.0,종로3가,01호선,서울특별시 종로구 돈화문로11길 지하26 (돈의동)  ,126.992153252476,37.570420844523
153,20161224,40674.0,38345.0,종로3가,01호선,서울특별시 종로구 돈화문로11길 지하26 (돈의동)  ,126.992153252476,37.570420844523
153,20161225,24020.0,21531.0,종로3가,01호선,서울특별시 종로구 돈화문로11길 지하26 (돈의동)  ,126.992153252476,37.570420844523
153,20171224,23818.0,23091.0,종로3가,01호선,서울특별시 종로구 돈화문로11길 지하26 (돈의동)  ,126.992153252476,37.570420844523
153,20171225,28019.0,26006.0,종로3가,01호선,서울특별시 종로구 돈화문로11길 지하26 (돈의동)  ,126.992153252476,37.570420844523
154,20151224,34175.0,34882.0,종로5가,01호선,서울특별시 종로구 종로 지하 216  (종로5가) (1호선 종로5가역),127.00153947718799,37.570976108369
154,20151225,25321.0,26457.0,종로5가,01호선,서울특별시 종로구 종로 지하 216  (종로5가) (1호선 종로5가역),127.00153947718799,37.570976108369
154,20161224,27831.0,27215.0,종로5가,01호선,서울특별시 종로구 종로 지하 216  (종로5가) (1호선 종로5가역),127.00153947718799,37.570976108369
154,20171225,20302.0,20598.0,종로5가,01호선,서울특별시 종로구 종로 지하 216  (종로5가) (1호선 종로5가역),127.00153947718799,37.570976108369
155,20151224,18456.0,21722.0,동대문,01호선,서울특별시 중구 마른내로 지하162 (광희동1가),127.010631546623,37.571667604016206
155,20151225,16992.0,25550.0,동대문,01호선,서울특별시 중구 마른내로 지하162 (광희동1가),127.010631546623,37.571667604016206
155,20161224,18198.0,21587.0,동대문,01호선,서울특별시 중구 마른내로 지하162 (광희동1가),127.010631546623,37.571667604016206
155,20161225,15233.0,19549.0,동대문,01호선,서울특별시 중구 마른내로 지하162 (광희동1가),127.010631546623,37.571667604016206
155,20171224,12748.0,16212.0,동대문,01호선,서울특별시 중구 마른내로 지하162 (광희동1가),127.010631546623,37.571667604016206
155,20171225,14125.0,18523.0,동대문,01호선,서울특별시 중구 마른내로 지하162 (광희동1가),127.010631546623,37.571667604016206
156,20151224,20086.0,19094.0,신설동,01호선,서울특별시 동대문구 왕산로 지하 1 (신설동) (1호선 신설동역),127.024456700382,37.5760299683175
157,20151224,22167.0,22157.0,제기동,01호선,서울특별시 동대문구 왕산로 지하 93 (제기동) (제기동역),127.034949495921,37.5781752985683
157,20161224,18769.0,18802.0,제기동,01호선,서울특별시 동대문구 왕산로 지하 93 (제기동) (제기동역),127.034949495921,37.5781752985683
157,20171225,15261.0,15815.0,제기동,01호선,서울특별시 동대문구 왕산로 지하 93 (제기동) (제기동역),127.034949495921,37.5781752985683
158,20151224,34592.0,36208.0,청량리,01호선,서울 동대문구 왕산로 214,127.048504385911,37.580732933880896
158,20151225,28435.0,30171.0,청량리,01호선,서울 동대문구 왕산로 214,127.048504385911,37.580732933880896
158,20161224,30744.0,32159.0,청량리,01호선,서울 동대문구 왕산로 214,127.048504385911,37.580732933880896
158,20161225,23023.0,23315.0,청량리,01호선,서울 동대문구 왕산로 214,127.048504385911,37.580732933880896
158,20171224,19286.0,20451.0,청량리,01호선,서울 동대문구 왕산로 214,127.048504385911,37.580732933880896
158,20171225,23529.0,24311.0,청량리,01호선,서울 동대문구 왕산로 214,127.048504385911,37.580732933880896
201,20151224,38607.0,36595.0,시청,02호선,서울특별시 세종대로 지하 101 (정동) (1호선 시청역),126.9746729,37.5657037
201,20151225,23305.0,20920.0,시청,02호선,서울특별시 세종대로 지하 101 (정동) (1호선 시청역),126.9746729,37.5657037
201,20161224,31044.0,26811.0,시청,02호선,서울특별시 세종대로 지하 101 (정동) (1호선 시청역),126.9746729,37.5657037
