name,code,eng_name,line,out_code,address,x,y
종로3가,153,Jongno 3(sam)-ga,01호선,130,서울특별시 종로구 돈화문로 지하 30 (묘동) (3호선 종로3가역),126.992153252476,37.570420844523
종로5가,154,Jongno 5(o)-ga,01호선,129,서울특별시 종로구 종로 지하 216  (종로5가) (1호선 종로5가역),127.001539477188,37.570976108369
직산,1726,Jiksan,01호선,P167,충남 천안시 서북구 직산읍 천안대로 1471-33,127.143823728817,36.8709328418739
창동,1022,Chang-dong,01호선,116,서울특별시 도봉구 마들로 11길 77 (4호선 창동역),127.04764318915,37.6533393245862
청량리,158,Cheongnyangni,01호선,124,서울 동대문구 왕산로 214,127.048504385911,37.5807329338809
평택,1724,Pyeongtaek,01호선,P165,경기 평택시 평택로 51,127.085291092947,36.9909823564826
화서,1712,Hwaseo,01호선,P154,경기 수원시 팔달구 덕영대로 692,126.989490219735,37.2841890883582
회기,1015,Hoegi,01호선,123,서울 동대문구 경희대로 23,127.052621405397,37.5954655474126
강남,222,Gangnam,02호선,222,서울특별시 강남구 강남대로 지하 396 (2호선 강남역),127.028000275071,37.4980854357918
강변,214,Gangbyeon,02호선,214,서울특별시 광진구 강변역로 53 (강변역),127.094741101863,37.5351180385975
건대입구,212,Konkuk Univ.,02호선,212,서울특별시 광진구 능동로 지하110 (화양동),127.069203234354,37.5404068198011
건대입구,212,Konkuk Univ.,02호선,212,서울특별시 광진구 아차산로 243 (2호선 건대입구역),127.069203234354,37.5404068198011
교대,223,Seoul Nat`l Univ. of Education,02호선,223,서울특별시 서초구 서초대로 지하 294 (2호선 교대역),127.0120398,37.4934705
교대,223,Seoul Nat`l Univ. of Education,02호선,223,서울특별시 서초구 서초대로 지하 294 (3호선 교대역),127.0120398,37.4934705
구로디지털단지,232,Guro Digital Complex,02호선,232,서울 구로구 도림천로 477,126.901471340443,37.4852608709622
구의,213,Guui,02호선,213,서울특별시 광진구 아차산로 384-1 (구의역),127.086181083988,37.5371739190572
까치산,200,Kkachisan,02호선,234-4,서울특별시 강서구 강서로 지하54 (화곡동),126.846444264065,37.5322306724471
까치산,200,Kkachisan,02호선,234-4,서울특별시 강서구 강서로 지하54 (까치산역),126.846444264065,37.5322306724471
낙성대,227,Nakseongdae,02호선,227,서울특별시 관악구 남부순환로 지하 1928(봉천동) (2호선 낙성대역),126.963523905001,37.4770932409965
당산,237,Dangsan,02호선,237,서울특별시 영등포구 당산로 229(당산동 6가) (2호선 당산역),126.902611795523,37.5347843171332
대림,233,Daerim,02호선,233,서울 구로구 도림천로 351,126.894929187141,37.4933100912585
대림,233,Daerim,02호선,233,서울 구로구 도림천로 351,126.894929187141,37.4933100912585
동대문역사문화공원,205,Dongdaemun History  Culture Park,02호선,205,서울특별시 중구 을지로 지하 279 (2호선 동대문역역사문화공원역),127.009005301929,37.5656635044556
동대문역사문화공원,205,Dongdaemun History  Culture Park,02호선,205,서울특별시 중구 장충단로 지하 230 (4호선 동대문역사문화공원역),127.009005301929,37.5656635044556
뚝섬,210,Ttukseom,02호선,210,서울특별시 성동구 아차산로18 (뚝섬역),127.047387635055,37.5472432239914
문래,235,Mullae,02호선,235,서울특별시 영등포구 당산로 지하 28(문래동3가) (문래역),126.894778820701,37.5179757181801
방배,225,Bangbae,02호선,225,서울특별시 서초구 방배로 지하 80 (방배역),126.997553345516,37.4814561268152
