,code,date,in_people,out_people,name,line,address,x,y
44,158,20161224,30744.0,32159.0,청량리,01호선,서울 동대문구 왕산로 214,127.048504385911,37.580732933880896
45,158,20161225,23023.0,23315.0,청량리,01호선,서울 동대문구 왕산로 214,127.048504385911,37.580732933880896
46,158,20171224,19286.0,20451.0,청량리,01호선,서울 동대문구 왕산로 214,127.048504385911,37.580732933880896
47,158,20171225,23529.0,24311.0,청량리,01호선,서울 동대문구 왕산로 214,127.048504385911,37.580732933880896
48,159,20151224,20751.0,21553.0,동묘앞,01호선,서울특별시 종로구 지봉로 지하24 (숭인동),127.016364305231,37.5732177197872
49,159,20151225,17823.0,18346.0,동묘앞,01호선,서울특별시 종로구 지봉로 지하24 (숭인동),127.016364305231,37.5732177197872
50,159,20161224,21066.0,20993.0,동묘앞,01호선,서울특별시 종로구 지봉로 지하24 (숭인동),127.016364305231,37.5732177197872
51,159,20161225,19541.0,19420.0,동묘앞,01호선,서울특별시 종로구 지봉로 지하24 (숭인동),127.016364305231,37.5732177197872
52,159,20171224,11930.0,11745.0,동묘앞,01호선,서울특별시 종로구 지봉로 지하24 (숭인동),127.016364305231,37.5732177197872
53,159,20171225,17077.0,17424.0,동묘앞,01호선,서울특별시 종로구 지봉로 지하24 (숭인동),127.016364305231,37.5732177197872
54,201,20151224,38607.0,36595.0,시청,02호선,서울특별시 세종대로 지하 101 (정동) (1호선 시청역),126.9746729,37.5657037
55,201,20151225,23305.0,20920.0,시청,02호선,서울특별시 세종대로 지하 101 (정동) (1호선 시청역),126.9746729,37.5657037
56,201,20161224,31044.0,26811.0,시청,02호선,서울특별시 세종대로 지하 101 (정동) (1호선 시청역),126.9746729,37.5657037
57,201,20161225,12291.0,8966.0,시청,02호선,서울특별시 세종대로 지하 101 (정동) (1호선 시청역),126.9746729,37.5657037
58,201,20171224,13002.0,9697.0,시청,02호선,서울특별시 세종대로 지하 101 (정동) (1호선 시청역),126.9746729,37.5657037
59,201,20171225,16912.0,14091.0,시청,02호선,서울특별시 세종대로 지하 101 (정동) (1호선 시청역),126.9746729,37.5657037
60,202,20151224,77474.0,72615.0,을지로입구,02호선,서울특별시 중구 을지로 지하 42 (을지입구역),126.982193047079,37.566037319363495
61,202,20151225,60691.0,49011.0,을지로입구,02호선,서울특별시 중구 을지로 지하 42 (을지입구역),126.982193047079,37.566037319363495
62,202,20161224,65313.0,55996.0,을지로입구,02호선,서울특별시 중구 을지로 지하 42 (을지입구역),126.982193047079,37.566037319363495
63,202,20161225,43535.0,39753.0,을지로입구,02호선,서울특별시 중구 을지로 지하 42 (을지입구역),126.982193047079,37.566037319363495
64,202,20171224,40573.0,37909.0,을지로입구,02호선,서울특별시 중구 을지로 지하 42 (을지입구역),126.982193047079,37.566037319363495
65,202,20171225,44183.0,39032.0,을지로입구,02호선,서울특별시 중구 을지로 지하 42 (을지입구역),126.982193047079,37.566037319363495
66,203,20151224,38946.0,40161.0,을지로3가,02호선,서울특별시 중구 을지로 지하 106 (2호선 을지로3가역),126.9909855674,37.5662905969967
67,203,20151225,19081.0,17599.0,을지로3가,02호선,서울특별시 중구 을지로 지하 106 (2호선 을지로3가역),126.9909855674,37.5662905969967
68,203,20161224,21440.0,20353.0,을지로3가,02호선,서울특별시 중구 을지로 지하 106 (2호선 을지로3가역),126.9909855674,37.5662905969967
69,203,20161225,14200.0,14013.0,을지로3가,02호선,서울특별시 중구 을지로 지하 106 (2호선 을지로3가역),126.9909855674,37.5662905969967
70,203,20171224,16186.0,15089.0,을지로3가,02호선,서울특별시 중구 을지로 지하 106 (2호선 을지로3가역),126.9909855674,37.5662905969967
71,203,20171225,16047.0,14918.0,을지로3가,02호선,서울특별시 중구 을지로 지하 106 (2호선 을지로3가역),126.9909855674,37.5662905969967
72,204,20151224,23561.0,24031.0,을지로4가,02호선,서울특별시 중구 창경궁로 지하51 (주교동),126.997632059113,37.5666405038268
73,204,20151225,11352.0,11654.0,을지로4가,02호선,서울특별시 중구 창경궁로 지하51 (주교동),126.997632059113,37.5666405038268
74,204,20161224,14831.0,15036.0,을지로4가,02호선,서울특별시 중구 창경궁로 지하51 (주교동),126.997632059113,37.5666405038268
75,204,20161225,5941.0,5958.0,을지로4가,02호선,서울특별시 중구 창경궁로 지하51 (주교동),126.997632059113,37.5666405038268
76,204,20171224,5942.0,6305.0,을지로4가,02호선,서울특별시 중구 창경궁로 지하51 (주교동),126.997632059113,37.5666405038268
77,204,20171225,9405.0,9805.0,을지로4가,02호선,서울특별시 중구 창경궁로 지하51 (주교동),126.997632059113,37.5666405038268
78,205,20151224,54860.0,58978.0,동대문역사문화공원,02호선,서울특별시 중구 을지로 지하 279 (2호선 동대문역역사문화공원역),127.009005301929,37.5656635044556
79,205,20151225,49118.0,53876.0,동대문역사문화공원,02호선,서울특별시 중구 을지로 지하 279 (2호선 동대문역역사문화공원역),127.009005301929,37.5656635044556
80,205,20161224,48129.0,48637.0,동대문역사문화공원,02호선,서울특별시 중구 을지로 지하 279 (2호선 동대문역역사문화공원역),127.009005301929,37.5656635044556
81,205,20161225,38438.0,41036.0,동대문역사문화공원,02호선,서울특별시 중구 을지로 지하 279 (2호선 동대문역역사문화공원역),127.009005301929,37.5656635044556
82,205,20171224,37712.0,40236.0,동대문역사문화공원,02호선,서울특별시 중구 을지로 지하 279 (2호선 동대문역역사문화공원역),127.009005301929,37.5656635044556
83,205,20171225,40189.0,41666.0,동대문역사문화공원,02호선,서울특별시 중구 을지로 지하 279 (2호선 동대문역역사문화공원역),127.009005301929,37.5656635044556
84,206,20151224,28707.0,29869.0,신당,02호선,서울특별시 중구 다산로 지하260 (흥인동),127.019477739585,37.5656742141161
85,206,20151225,19117.0,19602.0,신당,02호선,서울특별시 중구 다산로 지하260 (흥인동),127.019477739585,37.5656742141161
86,206,20161224,21738.0,21093.0,신당,02호선,서울특별시 중구 다산로 지하260 (흥인동),127.019477739585,37.5656742141161
87,206,20161225,15541.0,16546.0,신당,02호선,서울특별시 중구 다산로 지하260 (흥인동),127.019477739585,37.5656742141161
88,206,20171224,14818.0,14995.0,신당,02호선,서울특별시 중구 다산로 지하260 (흥인동),127.019477739585,37.5656742141161
89,206,20171225,16656.0,17823.0,신당,02호선,서울특별시 중구 다산로 지하260 (흥인동),127.019477739585,37.5656742141161
96,208,20151224,30220.0,29438.0,왕십리,02호선,서울특별시 성동구 왕십리로 지하300 (행당동),127.037101112459,37.5612683640285
97,208,20151225,19124.0,20192.0,왕십리,02호선,서울특별시 성동구 왕십리로 지하300 (행당동),127.037101112459,37.5612683640285
98,208,20161224,23548.0,23372.0,왕십리,02호선,서울특별시 성동구 왕십리로 지하300 (행당동),127.037101112459,37.5612683640285
99,208,20161225,17153.0,16806.0,왕십리,02호선,서울특별시 성동구 왕십리로 지하300 (행당동),127.037101112459,37.5612683640285
100,208,20171224,16915.0,16380.0,왕십리,02호선,서울특별시 성동구 왕십리로 지하300 (행당동),127.037101112459,37.5612683640285
101,208,20171225,17871.0,17646.0,왕십리,02호선,서울특별시 성동구 왕십리로 지하300 (행당동),127.037101112459,37.5612683640285
108,210,20151224,18706.0,19433.0,뚝섬,02호선,서울특별시 성동구 아차산로18 (뚝섬역),127.047387635055,37.5472432239914
109,210,20151225,8513.0,8234.0,뚝섬,02호선,서울특별시 성동구 아차산로18 (뚝섬역),127.047387635055,37.5472432239914
110,210,20161224,10673.0,10647.0,뚝섬,02호선,서울특별시 성동구 아차산로18 (뚝섬역),127.047387635055,37.5472432239914
111,210,20161225,7181.0,7304.0,뚝섬,02호선,서울특별시 성동구 아차산로18 (뚝섬역),127.047387635055,37.5472432239914
112,210,20171224,7299.0,7215.0,뚝섬,02호선,서울특별시 성동구 아차산로18 (뚝섬역),127.047387635055,37.5472432239914
113,210,20171225,7841.0,8147.0,뚝섬,02호선,서울특별시 성동구 아차산로18 (뚝섬역),127.047387635055,37.5472432239914
114,211,20151224,31697.0,34303.0,성수,02호선,서울특별시 성동구 아차산로 100 (성수역),127.05606699932699,37.5445888153751
115,211,20151225,10454.0,11597.0,성수,02호선,서울특별시 성동구 아차산로 100 (성수역),127.05606699932699,37.5445888153751
116,211,20161224,15790.0,17539.0,성수,02호선,서울특별시 성동구 아차산로 100 (성수역),127.05606699932699,37.5445888153751
117,211,20161225,10423.0,11206.0,성수,02호선,서울특별시 성동구 아차산로 100 (성수역),127.05606699932699,37.5445888153751
118,211,20171224,9564.0,10124.0,성수,02호선,서울특별시 성동구 아차산로 100 (성수역),127.05606699932699,37.5445888153751
119,211,20171225,10905.0,12539.0,성수,02호선,서울특별시 성동구 아차산로 100 (성수역),127.05606699932699,37.5445888153751
120,212,20151224,76033.0,88293.0,건대입구,02호선,서울특별시 광진구 능동로 지하110 (화양동),127.069203234354,37.5404068198011
121,212,20151225,63711.0,70374.0,건대입구,02호선,서울특별시 광진구 능동로 지하110 (화양동),127.069203234354,37.5404068198011
122,212,20161224,67167.0,78257.0,건대입구,02호선,서울특별시 광진구 능동로 지하110 (화양동),127.069203234354,37.5404068198011
